sno0,1,70,90,92,69
sno1,1,53,68,71,68
sno2,2,74,92,51,73
sno3,1,90,59,93,99
sno4,1,57,91,79,72
sno5,1,67,69,97,85
sno6,2,76,76,80,69
sno7,1,96,89,99,74
sno8,1,60,67,78,87
sno9,1,86,63,53,96
sno10,2,82,82,91,66
sno11,2,60,84,75,93
sno12,1,83,69,96,68
sno13,2,66,90,65,99
sno14,1,75,72,51,61
sno15,2,81,70,98,79
sno16,1,75,94,66,81
sno17,2,80,73,87,70
sno18,2,55,98,80,88
sno19,1,63,58,91,83
sno20,2,98,79,52,64
sno21,1,50,69,70,58
sno22,1,95,79,93,97
sno23,2,61,99,71,82
sno24,2,65,65,69,50
sno25,2,60,50,63,91
sno26,2,93,87,63,100
sno27,1,96,71,75,99
sno28,1,59,87,62,99
sno29,2,99,75,99,60
sno30,1,57,70,58,82
sno31,2,56,80,97,57
sno32,1,92,83,68,51
sno33,2,82,59,64,75
sno34,1,96,74,62,62
sno35,1,86,55,87,50
sno36,2,55,95,90,53
sno37,2,83,67,54,50
sno38,1,59,59,59,57
sno39,1,70,57,92,52
sno40,1,55,60,68,62
sno41,1,82,85,60,83
sno42,1,75,74,78,50
sno43,2,50,93,55,82
sno44,1,80,66,71,63
sno45,1,76,66,56,83
sno46,2,58,70,77,86
sno47,1,68,100,54,54
sno48,2,78,89,73,66
sno49,2,92,73,56,72
sno50,2,71,57,75,77
sno51,2,94,98,67,95
sno52,1,77,85,85,52
sno53,1,56,75,58,64
sno54,1,50,65,82,88
sno55,2,67,57,100,53
sno56,1,68,68,77,52
sno57,1,59,65,57,50
sno58,2,54,60,58,79
sno59,1,90,84,97,60
sno60,1,77,76,53,88
sno61,2,69,77,63,94
sno62,2,60,55,53,78
sno63,2,60,79,71,82
sno64,2,70,87,80,84
sno65,2,74,83,96,56
sno66,1,83,65,85,69
sno67,1,98,50,65,78
sno68,2,59,69,59,71
sno69,2,51,65,72,50
sno70,1,77,75,67,64
sno71,1,98,77,66,90
sno72,1,67,61,66,71
sno73,1,63,58,77,62
sno74,1,52,74,71,56
sno75,2,93,84,64,58
sno76,2,73,62,74,82
sno77,1,51,62,55,99
sno78,2,54,86,63,77
sno79,2,95,79,95,75
sno80,1,82,92,97,52
sno81,1,95,77,79,89
sno82,1,51,78,63,51
sno83,2,71,87,95,92
sno84,2,76,69,84,69
sno85,1,57,57,69,89
sno86,2,90,56,68,70
sno87,2,95,56,75,69
sno88,1,52,85,84,53
sno89,1,71,57,100,65
sno90,1,86,93,92,59
sno91,1,61,69,67,92
sno92,2,65,93,97,93
sno93,2,69,59,100,50
sno94,2,76,85,99,89
sno95,1,54,69,85,66
sno96,1,89,66,57,60
sno97,2,99,87,50,51
sno98,1,96,82,80,74
sno99,2,65,89,52,86
